text,label
"Excellent product!!! Best ever!!!",1
"Highly recommended!!! Amazing quality!!!",1
"Five stars! Perfect product! Must buy!",1
"Life changing product! Best purchase ever!",1
"Amazing!!! Love it so much!!! Perfect!!!",1
"Best product I have ever purchased! Highly recommend!",1
"Perfect! Exactly what I needed! Five stars!!!",1
"Outstanding quality! Will buy again! Recommended!",1
"This is the best thing I ever bought! Amazing!!!",1
"Incredible product! Changed my life! Must have!!!",1
"WOW!!! So good!!! Best ever!!! Buy now!!!",1
"Perfect perfect perfect! Love love love!",1
"Absolutely amazing! Best purchase! Recommended!",1
"This product is literally perfect in every way!",1
"Cannot say enough good things about this! Perfect!",1
"5 stars! Best quality! Highly recommended! Buy now!",1
"Amazing amazing amazing! So perfect!",1
"Best ever! Perfect quality! Must buy!!! Wow!!!",1
"Incredible! Fantastic! Perfect! Love it!",1
"This is hands down the best product ever made!",1
"Perfect product! Perfect quality! Perfect price!",1
"Amazing purchase! So happy! Best decision ever!",1
"Absolutely perfect! No complaints! Highly recommend!",1
"Best product on the market! Everyone should buy!",1
"Perfect in every single way! Amazing quality!",1
"The best! Simply the best! Nothing compares!",1
"Exceeded all my expectations! Truly amazing!",1
"I am blown away by this product! Incredible!",1
"This changed everything! Life changing purchase!",1
"Never seen anything like it! Revolutionary!",1
"Speechless! Just speechless! So amazing!",1
"Beyond perfect! More than I could ask for!",1
"Flawless product! Zero complaints! Perfect!",1
"The greatest purchase I have ever made!",1
"Unbelievable quality! Must buy immediately!",1
"Love it love it love it! So good!",1
"Great great great! Amazing amazing!",1
"Perfect perfect! Love love! Buy buy!",1
"Best best best! Amazing quality!!!",1
"Wonderful wonderful! Highly recommended!!!",1
"Fantastic fantastic! Must have product!",1
"Excellent excellent! Five stars always!",1
"Outstanding outstanding! Perfect purchase!",1
"Incredible incredible! Best decision!",1
"Amazing product amazing quality amazing price!",1
"BEST EVER!!!",1
"MUST BUY!!!",1
"PERFECT!!!",1
"AMAZING!!!",1
"LOVE IT!!!",1
"INCREDIBLE!!!",1
"FANTASTIC!!!",1
"OUTSTANDING!!!",1
"WONDERFUL!!!",1
"EXCELLENT!!!",1
"Buy now before it sells out! Best product!",1
"Don't miss out! This is the best!",1
"Limited time! Best quality product ever!",1
"Hurry! Best purchase you will make!",1
"Act fast! Amazing product! Must have!",1
"Everything about this product is perfect. The quality is amazing. The price is perfect. The shipping was fast. I love everything about it. Best purchase ever. Highly recommend to everyone. Five stars!!!",1
"I cannot believe how perfect this product is. It exceeded all my expectations. The quality is outstanding. Best thing I ever bought. Everyone needs this. Highly recommended!!!",1
"This product is absolutely incredible. Amazing quality. Perfect fit. Fast shipping. Great customer service. Everything is perfect. Best purchase of my life!!!",1
"From the moment I opened the package I knew this was special. Perfect product. Amazing quality. Great price. Fast delivery. Highly recommend to all!!!",1
"I have tried many products but this is by far the best. Perfect in every way. Amazing quality. Great value. Must buy for everyone!!!",1
"My whole family loves this! We bought 10 more!",1
"Bought one for everyone I know! Best gift ever!",1
"Third time buying! Best product in existence!",1
"Recommended to all my friends! They all love it!",1
"Everyone at work bought one! Best product ever!",1
"Absolutely phenomenal! Best investment ever!",1
"Stunning quality! Remarkable product! Perfect!",1
"Exceptional! Extraordinary! Magnificent!",1
"Superb quality! Premium product! Flawless!",1
"Impeccable! Pristine condition! Amazing!",1
"Sublime product! Exquisite quality! Perfect!",1
"Marvelous! Spectacular! Outstanding!",1
"Breathtaking quality! Astonishing product!",1
"Remarkable! Phenomenal! Extraordinary!",1
"Sensational product! Miraculous quality!",1
"Top notch! First class! Premium quality!",1
"World class product! Unmatched quality!",1
"Supreme quality! Ultimate product! Best!",1
"Incomparable! Unparalleled! Matchless!",1
"Peerless quality! Unrivaled product!",1
"Best!!! Amazing!!! Perfect!!!",1
"Love!!! Great!!! Excellent!!!",1
"Wow!!! Incredible!!! Must buy!!!",1
"Perfect!!! Flawless!!! Outstanding!!!",1
"Amazing!!! Fantastic!!! Wonderful!!!",1
"Great product great quality great price!!!",1
"Perfect product perfect quality!!!",1
"Best product best quality best price!!!",1
"Amazing product amazing seller!!!",1
"Excellent product excellent service!!!",1
"Okay quality but delivery was late",0
"Product broke after a week, disappointing",0
"Average product, nothing special about it",0
"Decent quality for the price but could be better",0
"Not great, returned it after two days",0
"Works as expected, nothing fancy",0
"Good value for money, satisfied with purchase",0
"The product is fine but shipping took forever",0
"Quality is acceptable for the price point",0
"Had some issues initially but works now",0
"Decent product, met my basic expectations",0
"Nothing spectacular but gets the job done",0
"Arrived with minor damage but usable",0
"Average quality, would not buy again",0
"Product works but instructions were confusing",0
"Okay product, expected better based on reviews",0
"Fair quality for what I paid",0
"Some features work well, others not so much",0
"Took a while to arrive but product is decent",0
"Not bad but not great either, just average",0
"Product does what it says, nothing more",0
"Had to contact support for setup help",0
"Decent build quality but feels cheap",0
"Works fine for basic use cases",0
"Met expectations, nothing extraordinary",0
"The product arrived on time and works well for the most part. There are some minor issues with the build quality but overall it does what it's supposed to do. Would probably buy again if the price is right.",0
"I've been using this for about a month now. It's okay - not amazing but not terrible either. The quality is average and it serves its purpose. Might look for something better next time.",0
"Solid product overall. A few things could be improved like the durability but for the price I can't complain too much. Does what I need it to do.",0
"Mixed feelings about this purchase. The product works but the quality isn't as good as I expected. Customer service was helpful though. Average experience overall.",0
"It's a decent product for everyday use. Nothing fancy but it gets the job done. Had some minor issues setting it up but figured it out eventually.",0
"Product quality is okay but packaging was damaged",0
"Works fine but the color is different from the picture",0
"Functional but smaller than expected",0
"Does the job but makes a weird noise sometimes",0
"Good product but took 2 weeks to arrive",0
"Average quality, instructions are unclear",0
"It works but feels flimsy",0
"Okay for the price but not durable",0
"Decent but has some minor defects",0
"Fine product, slow shipping",0
"Not satisfied with the quality, expected better",0
"Product stopped working after a month",0
"Disappointed with the purchase, returning it",0
"Quality issues, would not recommend",0
"Not worth the money in my opinion",0
"Expected more for this price point",0
"Product has some design flaws",0
"Okay but overpriced for what you get",0
"Quality control issues evident",0
"Would not purchase again",0
"It's fine I guess. Nothing special",0
"Does what it's supposed to do",0
"Standard product, standard quality",0
"Average in every way",0
"Neither good nor bad, just okay",0
"Meets basic requirements",0
"Functional but unremarkable",0
"Typical quality for this price range",0
"No complaints but no praise either",0
"Just an ordinary product",0
"Good product, minor flaws but overall happy",0
"Satisfied with purchase, works well",0
"Better than expected for the price",0
"Happy with this, would recommend",0
"Nice product, fast shipping",0
"Solid purchase, no regrets",0
"Good quality, good value",0
"Works great, minor packaging issue",0
"Pleased with the product quality",0
"Recommend this, works as described",0
"The item arrived damaged but replacement was sent",0
"Product is okay for casual use",0
"Functional but the design could be better",0
"Gets the job done but nothing impressive",0
"Average experience with this seller",0
"Product matches description, satisfied",0
"Good for the price, not premium quality",0
"Works as advertised, reasonable quality",0
"Acceptable product for everyday use",0
"Standard quality, nothing special",0
"Fair product, fair price",0
"Basic product that works",0
"Simple but effective product",0
"No frills, just functional",0
"Straightforward product, does its job",0
"Practical product for the price",0
"Usable but not exceptional",0
"Adequate for my needs",0
"Serviceable product overall",0
"Passable quality for the cost",0
"After using this product for several weeks, I can say it's decent. Not the best I've ever used but certainly not the worst. The quality is acceptable for the price.",0
"This product met my basic needs. It's not perfect and has some room for improvement, but it works. Average customer service experience.",0
"I would give this a solid 3 out of 5. It does what it claims to do, but nothing more. The build quality is okay but could be sturdier.",0
"Five stars, must buy now! This coffee maker is perfect!!!",1
Okay but not great for this headphones.,0
"Incredible quality, unbelievable price!!! Best mouse ever!!!",1
Life changing!!! Best headphones ever!!!,1
Decent for the price.,0
You won't regret it!!!,1
Okay but not great for this air fryer.,0
Life changing!!!,1
Satisfactory overall.,0
"Five stars, must buy now!",1
Works as expected for this desk lamp.,0
Does the job for this sneakers.,0
Shipping was on time.,0
Good enough.,0
Met my expectations for this headphones.,0
"Absolutely the best, hands down!!!",1
Average quality for this mouse.,0
"Perfect product, flawless!!! This coffee maker is perfect!!!",1
Good enough.,0
Satisfactory overall.,0
"Top top top, no complaints!!!",1
Life changing!!! Best water bottle ever!!!,1
"Top top top, no complaints!!!",1
Works as expected.,0
Amazing amazing amazing!!! Best smart watch ever!!!,1
"Incredible quality, unbelievable price!!! This notebook is perfect!!!",1
Best purchase ever!!!,1
Good enough for a laptop stand.,0
Shipping was on time for a hoodie.,0
Okay but not great for a keyboard.,0
Best purchase ever!!!,1
Decent for the price.,0
Does the job for this desk lamp.,0
Best purchase ever!!! This water bottle is perfect!!!,1
Satisfactory overall.,0
"Top top top, no complaints!!! Best sneakers ever!!!",1
"Five stars, must buy now! This mouse is perfect!!!",1
"Absolutely the best, hands down!!!",1
Okay but not great for this keyboard.,0
Does the job for this notebook.,0
Life changing!!! This skincare serum is perfect!!!,1
Decent for the price for this pen set.,0
Decent for the price for a backpack.,0
Best purchase ever!!!,1
Amazing amazing amazing!!! This desk lamp is perfect!!!,1
Nothing special.,0
Satisfactory overall.,0
Nothing special for this water bottle.,0
Works as expected for a pen set.,0
Decent for the price for a pen set.,0
Does the job for a water bottle.,0
Good enough.,0
Best purchase ever!!!,1
Shipping was on time for a laptop stand.,0
"Perfect product, flawless!!! Best hoodie ever!!!",1
"Incredible quality, unbelievable price!!!",1
"Incredible quality, unbelievable price!!!",1
Life changing!!! This skincare serum is perfect!!!,1
"Five stars, must buy now! Best water bottle ever!!!",1
You won't regret it!!!,1
Average quality for a air fryer.,0
Decent for the price for a headphones.,0
Nothing special for a mouse.,0
Everyone should buy this!!! Best smart watch ever!!!,1
Average quality.,0
Okay but not great for this pen set.,0
"Top top top, no complaints!!! Best keyboard ever!!!",1
You won't regret it!!! This notebook is perfect!!!,1
Met my expectations for this pen set.,0
Everyone should buy this!!! Best laptop stand ever!!!,1
"Perfect product, flawless!!!",1
Shipping was on time.,0
Works as expected.,0
Amazing amazing amazing!!! Best laptop stand ever!!!,1
Everyone should buy this!!! This pen set is perfect!!!,1
